Job_Title,City,Skill
Software Engineer,Delhi,Machine Learning
Data Scientist,Delhi,R
ML Engineer,Mumbai,Excel
ML Engineer,Mumbai,Power BI
Software Engineer,Hyderabad,Power BI
Data Analyst,Hyderabad,R
Data Analyst,Delhi,Python
ML Engineer,Pune,AWS
Software Engineer,Mumbai,Tableau
Software Engineer,Delhi,Power BI
Software Engineer,Delhi,Java
Data Scientist,Mumbai,Python
Software Engineer,Hyderabad,Java
Data Analyst,Pune,Tableau
Data Scientist,Mumbai,R
ML Engineer,Delhi,Tableau
Software Engineer,Chennai,R
Data Scientist,Pune,Communication
Business Analyst,Delhi,Power BI
ML Engineer,Chennai,Statistics
Business Analyst,Chennai,Machine Learning
ML Engineer,Delhi,R
Software Engineer,Mumbai,Communication
ML Engineer,Bangalore,Java
Software Engineer,Pune,AWS
Business Analyst,Pune,Statistics
Business Analyst,Mumbai,R
Software Engineer,Chennai,Python
Software Engineer,Delhi,Python
Software Engineer,Mumbai,Power BI
Software Engineer,Hyderabad,R
Data Scientist,Chennai,Deep Learning
ML Engineer,Pune,Power BI
Data Scientist,Pune,Excel
Business Analyst,Mumbai,Python
Software Engineer,Bangalore,R
Software Engineer,Hyderabad,SQL
Data Scientist,Delhi,AWS
Business Analyst,Hyderabad,Machine Learning
Software Engineer,Mumbai,Statistics
Software Engineer,Mumbai,Communication
Software Engineer,Delhi,R
Software Engineer,Hyderabad,R
ML Engineer,Chennai,Deep Learning
Business Analyst,Chennai,Power BI
Software Engineer,Pune,Machine Learning
Data Analyst,Pune,Java
Software Engineer,Bangalore,AWS
Business Analyst,Pune,Python
Software Engineer,Pune,AWS
Software Engineer,Chennai,Excel
Software Engineer,Chennai,Python
Data Scientist,Hyderabad,Java
Data Analyst,Mumbai,Communication
Data Scientist,Bangalore,Deep Learning
ML Engineer,Chennai,AWS
Data Scientist,Chennai,Tableau
ML Engineer,Pune,Communication
Business Analyst,Pune,R
ML Engineer,Pune,Tableau
Software Engineer,Bangalore,SQL
Data Scientist,Bangalore,Communication
Data Scientist,Chennai,Java
Software Engineer,Pune,Tableau
ML Engineer,Mumbai,Deep Learning
Data Analyst,Pune,AWS
Data Scientist,Pune,Python
Data Analyst,Hyderabad,Communication
ML Engineer,Bangalore,Java
Software Engineer,Bangalore,Machine Learning
Software Engineer,Bangalore,Statistics
Data Analyst,Mumbai,SQL
Business Analyst,Hyderabad,AWS
ML Engineer,Pune,SQL
Software Engineer,Chennai,Communication
ML Engineer,Chennai,Power BI
Data Scientist,Hyderabad,Excel
Data Scientist,Bangalore,Excel
Business Analyst,Mumbai,Power BI
ML Engineer,Pune,Power BI
ML Engineer,Chennai,Python
Data Analyst,Mumbai,SQL
Data Analyst,Chennai,AWS
Software Engineer,Chennai,Excel
Business Analyst,Chennai,Communication
Software Engineer,Pune,Tableau
Software Engineer,Bangalore,Statistics
Data Scientist,Pune,Deep Learning
Business Analyst,Hyderabad,Statistics
Data Scientist,Pune,SQL
Data Scientist,Hyderabad,Java
Software Engineer,Delhi,R
Data Analyst,Bangalore,Machine Learning
Data Analyst,Mumbai,Java
Data Analyst,Delhi,AWS
Business Analyst,Hyderabad,Power BI
Software Engineer,Pune,R
Data Analyst,Mumbai,Python
ML Engineer,Mumbai,Java
Data Analyst,Bangalore,Machine Learning
Software Engineer,Mumbai,AWS
Data Analyst,Pune,Statistics
ML Engineer,Bangalore,Java
Data Scientist,Delhi,Tableau
Data Scientist,Pune,Statistics
ML Engineer,Chennai,Communication
Data Scientist,Delhi,Statistics
Software Engineer,Delhi,Tableau
ML Engineer,Hyderabad,Tableau
Data Scientist,Hyderabad,Java
ML Engineer,Delhi,R
Business Analyst,Mumbai,Power BI
Software Engineer,Chennai,Communication
Business Analyst,Bangalore,SQL
ML Engineer,Pune,SQL
Data Analyst,Mumbai,Communication
Data Scientist,Mumbai,SQL
ML Engineer,Chennai,Machine Learning
Data Scientist,Mumbai,Machine Learning
Data Scientist,Mumbai,Power BI
Business Analyst,Mumbai,SQL
Data Analyst,Mumbai,Communication
Data Scientist,Delhi,Machine Learning
Business Analyst,Delhi,R
Software Engineer,Chennai,Statistics
ML Engineer,Delhi,R
Business Analyst,Bangalore,Python
Business Analyst,Bangalore,Excel
Business Analyst,Chennai,Tableau
Data Analyst,Hyderabad,Java
Software Engineer,Pune,Excel
Software Engineer,Hyderabad,Excel
ML Engineer,Hyderabad,Communication
Data Analyst,Mumbai,Python
Data Scientist,Hyderabad,R
Business Analyst,Bangalore,Tableau
ML Engineer,Chennai,Excel
Data Scientist,Delhi,Tableau
Data Scientist,Pune,Java
Data Scientist,Delhi,Tableau
Data Analyst,Chennai,Excel
Software Engineer,Pune,Power BI
Software Engineer,Bangalore,Python
Data Scientist,Mumbai,SQL
Software Engineer,Pune,R
Software Engineer,Hyderabad,Tableau
Business Analyst,Bangalore,Power BI
Data Analyst,Mumbai,Machine Learning
ML Engineer,Pune,R
